STATE/UT,FEMALE (2015) - BREAST,FEMALE (2015) - CERVIX,FEMALE (2015) - OVARY,MALE (2015) - LUNG,MALE (2015) - MOUTH,MALE (2015) - TONGUE
Jammu & Kashmir,1331,1042,472,869,740,500
Himachal Pradesh,581,598,257,431,367,248
Punjab,3148,2142,1003,1804,1537,1038
Chandigarh,186,65,38,73,62,42
Uttaranchal,1142,853,391,662,563,380
Haryana,2910,1992,932,1704,1451,980
Delhi,3020,1059,611,1117,951,642
Rajasthan,7102,5721,2577,4519,3849,2599
Uttar Pradesh,20095,16894,7540,13453,11457,7738
Bihar,9314,9274,4004,7129,6072,4100
Sikkim,30,23,14,17,11,5
Arunachal Pradesh,80,68,29,75,34,28
Nagaland,66,88,14,47,32,19
Manipur,265,134,99,217,27,41
Mizoram,95,116,20,125,13,17
Tripura,126,156,56,219,74,68
Meghalaya,102,117,27,113,102,113
Assam,2376,1420,871,1332,989,727
West Bengal,10291,7393,3417,5828,4963,3352
Jharkhand,3484,2857,1282,2199,1872,1264
Orissa,3975,3632,1594,2648,2255,1523
Chattisgarh,2756,2264,1015,1672,1424,962
Madhya Pradesh,7840,6124,2777,4844,4125,2786
Gujarat,7527,4753,2269,4033,3435,2320
Daman & Diu,38,16,9,29,25,17
Dadra & Nagar Haveli,48,28,14,28,24,16
Maharashtra,13969,8670,4157,7254,6178,4172
Telangana,4364,2842,1350,2219,1890,1276
Andhra Pradesh,5568,4101,1880,3070,2616,1766
Karnataka,7560,4967,2347,3912,3331,2250
Goa,220,107,55,92,78,53
Lakshadweep,13,5,3,5,4,3
Kerala,5222,2799,1398,2079,1770,1195
Tamil Nadu,9115,5461,2644,4329,3686,2490
Pondicherry,213,100,52,81,69,47
Andaman & Nicobar Islands,42,28,13,24,21,14
Total no. of cases,134214,97909,45231,78252,66097,44791
